,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,route_type
50,2017-07-17 0:13:00,40.76143,-73.78996,2017-07-17 0:15:00,40.76314,-73.77125,120,rail
51,2017-07-17 0:13:00,40.81571,-73.62687,2017-07-17 0:16:00,40.83222,-73.62612,180,rail
52,2017-07-17 0:13:00,40.76143,-73.78996,2017-07-17 0:15:00,40.76314,-73.77125,120,rail
53,2017-07-17 0:14:00,40.75058,-73.99358,2017-07-17 0:34:00,40.6996,-73.80853,1200,rail
54,2017-07-17 0:14:00,40.73075,-73.68096,2017-07-17 0:16:00,40.73516,-73.66252,120,rail
55,2017-07-17 0:14:00,40.684901,-73.97768,2017-07-17 0:20:00,40.67838,-73.94822,360,rail
56,2017-07-17 0:14:00,40.67572,-73.48657,2017-07-17 0:16:00,40.67298,-73.50896,120,rail
57,2017-07-17 0:15:00,40.76314,-73.77125,2017-07-17 0:18:00,40.76806,-73.74941,180,rail
58,2017-07-17 0:15:00,40.76314,-73.77125,2017-07-17 0:18:00,40.76806,-73.74941,180,rail
59,2017-07-17 0:15:00,40.68024,-73.42031,2017-07-17 0:18:00,40.68101,-73.39834,180,rail
60,2017-07-17 0:16:00,40.67298,-73.50896,2017-07-17 0:19:00,40.66879,-73.52886,180,rail
61,2017-07-17 0:16:00,40.71329,-73.62503,2017-07-17 0:19:00,40.72145,-73.62967,180,rail
62,2017-07-17 0:16:00,40.73516,-73.66252,2017-07-17 0:18:00,40.74034,-73.64086,120,rail
63,2017-07-17 0:16:00,40.853,-73.40952,2017-07-17 0:21:00,40.83563,-73.45108,300,rail
64,2017-07-17 0:16:00,40.6996,-73.80853,2017-07-17 0:24:00,40.6758,-73.90281,480,rail
65,2017-07-17 0:16:00,40.6996,-73.80853,2017-07-17 0:25:00,40.74584,-73.90297,540,rail
66,2017-07-17 0:16:00,40.75479,-73.35806,2017-07-17 0:21:00,40.76948,-73.29356,300,rail
67,2017-07-17 0:16:00,40.83222,-73.62612,2017-07-17 0:19:00,40.85236,-73.62542,180,rail
68,2017-07-17 0:16:00,40.65605,-73.67607,2017-07-17 0:20:00,40.65831,-73.64655,240,rail
69,2017-07-17 0:18:00,40.88216,-73.15951,2017-07-17 0:24:00,40.92031,-73.12855,360,rail
70,2017-07-17 0:18:00,40.79898,-72.86442,2017-07-17 0:36:00,40.82117,-72.70427,1080,rail
71,2017-07-17 0:18:00,40.76806,-73.74941,2017-07-17 0:20:00,40.77504,-73.74065,120,rail
72,2017-07-17 0:18:00,40.74034,-73.64086,2017-07-17 0:21:00,40.7492,-73.60365,180,rail
73,2017-07-17 0:18:00,40.6996,-73.80853,2017-07-17 0:23:00,40.67513,-73.76504,300,rail
74,2017-07-17 0:18:00,40.68101,-73.39834,2017-07-17 0:21:00,40.68826,-73.36921,180,rail
75,2017-07-17 0:18:00,40.76806,-73.74941,2017-07-17 0:20:00,40.77504,-73.74065,120,rail
76,2017-07-17 0:18:00,40.6996,-73.80853,2017-07-17 0:24:00,40.71017,-73.76675,360,rail
77,2017-07-17 0:18:00,40.71957,-73.84481,2017-07-17 0:20:00,40.70964,-73.83089,120,rail
78,2017-07-17 0:19:00,40.85236,-73.62542,2017-07-17 0:21:00,40.85797,-73.62122,120,rail
